,CDA_AGREGADOS,SECRET_SUBPREF,COMISSIONADO,COMISSIONADO_EFETIVO,QTD,PERCENTUAL_EFETIVOS,PERCENTUAL_LEGAL,CONFORMIDADE_LEGAL,ANO_MES_REF,ANO
18,CDA-4,SECRETARIA MUNICIPAL DE HABITACAO,11,3,14,21.428571428571427,40,False,2022-06-01,2022
19,CDA-4,SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,10,5,15,33.33333333333333,40,False,2022-06-01,2022
20,CDA-4,SECRETARIA MUNICIPAL DE MOBILIDADE E TRANSITO,7,0,7,0.0,40,False,2022-06-01,2022
21,CDA-4,SECRETARIA MUNICIPAL DE RELACOES INTERNACIONAIS,7,0,7,0.0,40,False,2022-06-01,2022
22,CDA-4,SECRETARIA MUNICIPAL DE TURISMO,5,0,5,0.0,40,False,2022-06-01,2022
23,CDA-5,CASA CIVIL,5,0,5,0.0,30,False,2022-06-01,2022
24,CDA-5,CONTROLADORIA GERAL DO MUNICIPIO,3,1,4,25.0,30,False,2022-06-01,2022
25,CDA-5,GABINETE DO PREFEITO,7,0,7,0.0,30,False,2022-06-01,2022
26,CDA-5,SECRETARIA DO GOVERNO MUNICIPAL,16,0,16,0.0,30,False,2022-06-01,2022
27,CDA-5,SECRETARIA MUNICIPAL DA SAUDE,8,25,33,75.75757575757575,30,True,2022-06-01,2022
28,CDA-5,SECRETARIA MUNICIPAL DE GESTAO,5,7,12,58.333333333333336,30,True,2022-06-01,2022
29,CDA-5,SECRETARIA MUNICIPAL DE HABITACAO,4,0,4,0.0,30,False,2022-06-01,2022
30,CDA-5,SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,2,3,5,60.0,30,True,2022-06-01,2022
31,CDA-5,SECRETARIA MUNICIPAL DE MOBILIDADE E TRANSITO,1,0,1,0.0,30,False,2022-06-01,2022
32,CDA-5,SECRETARIA MUNICIPAL DE RELACOES INTERNACIONAIS,2,0,2,0.0,30,False,2022-06-01,2022
33,CDA-5,SECRETARIA MUNICIPAL DE TURISMO,1,0,1,0.0,30,False,2022-06-01,2022
34,CDA-6,CASA CIVIL,1,0,1,0.0,20,False,2022-06-01,2022
35,CDA-6,CONTROLADORIA GERAL DO MUNICIPIO,3,2,5,40.0,20,True,2022-06-01,2022
36,CDA-6,GABINETE DO PREFEITO,5,0,5,0.0,20,False,2022-06-01,2022
37,CDA-6,SECRETARIA DO GOVERNO MUNICIPAL,9,2,11,18.181818181818183,20,False,2022-06-01,2022
38,CDA-6,SECRETARIA MUNICIPAL DA SAUDE,5,14,19,73.68421052631578,20,True,2022-06-01,2022
39,CDA-6,SECRETARIA MUNICIPAL DE GESTAO,4,6,10,60.0,20,True,2022-06-01,2022
40,CDA-6,SECRETARIA MUNICIPAL DE HABITACAO,3,0,3,0.0,20,False,2022-06-01,2022
41,CDA-6,SECRETARIA MUNICIPAL DE RELACOES INTERNACIONAIS,1,0,1,0.0,20,False,2022-06-01,2022
42,CDA-6,SECRETARIA MUNICIPAL DE TURISMO,3,0,3,0.0,20,False,2022-06-01,2022
0,"CDA-1, CDA-2, CDA-3",CASA CIVIL,49,7,56,12.5,45,False,2022-07-01,2022
1,"CDA-1, CDA-2, CDA-3",CONTROLADORIA GERAL DO MUNICIPIO,30,26,56,46.42857142857143,45,True,2022-07-01,2022
2,"CDA-1, CDA-2, CDA-3",GABINETE DO PREFEITO,69,0,69,0.0,45,False,2022-07-01,2022
3,"CDA-1, CDA-2, CDA-3",SECRETARIA DO GOVERNO MUNICIPAL,96,4,100,4.0,45,False,2022-07-01,2022
4,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DA PESSOA COM DEFICIENCIA,25,3,28,10.714285714285714,45,False,2022-07-01,2022
5,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DA SAUDE,274,870,1144,76.04895104895105,45,True,2022-07-01,2022
6,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DAS SUBPREFEITURAS,235,45,280,16.071428571428573,45,False,2022-07-01,2022
7,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE CULTURA,319,132,451,29.268292682926827,45,False,2022-07-01,2022
8,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONOMICO,85,10,95,10.526315789473683,45,False,2022-07-01,2022
9,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE DIREITOS HUMANOS E CIDADAN,150,6,156,3.8461538461538463,45,False,2022-07-01,2022
10,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE GESTAO,125,74,199,37.185929648241206,45,False,2022-07-01,2022
11,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE HABITACAO,52,41,93,44.086021505376344,45,False,2022-07-01,2022
12,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,100,22,122,18.0327868852459,45,False,2022-07-01,2022
13,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE INOVACAO E TECNOLOGIA,73,7,80,8.75,45,False,2022-07-01,2022
14,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE JUSTICA,13,0,13,0.0,45,False,2022-07-01,2022
15,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE MOBILIDADE E TRANSITO,22,3,25,12.0,45,False,2022-07-01,2022
16,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE RELACOES INTERNACIONAIS,33,0,33,0.0,45,False,2022-07-01,2022
17,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE TURISMO,13,1,14,7.142857142857142,45,False,2022-07-01,2022
18,CDA-4,CASA CIVIL,7,0,7,0.0,40,False,2022-07-01,2022
19,CDA-4,CONTROLADORIA GERAL DO MUNICIPIO,10,10,20,50.0,40,True,2022-07-01,2022
20,CDA-4,GABINETE DO PREFEITO,22,0,22,0.0,40,False,2022-07-01,2022
21,CDA-4,SECRETARIA DO GOVERNO MUNICIPAL,14,2,16,12.5,40,False,2022-07-01,2022
22,CDA-4,SECRETARIA MUNICIPAL DA PESSOA COM DEFICIENCIA,5,0,5,0.0,40,False,2022-07-01,2022
23,CDA-4,SECRETARIA MUNICIPAL DA SAUDE,40,143,183,78.14207650273224,40,True,2022-07-01,2022
24,CDA-4,SECRETARIA MUNICIPAL DAS SUBPREFEITURAS,18,8,26,30.76923076923077,40,False,2022-07-01,2022
25,CDA-4,SECRETARIA MUNICIPAL DE CULTURA,24,6,30,20.0,40,False,2022-07-01,2022
26,CDA-4,SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONOMICO,8,2,10,20.0,40,False,2022-07-01,2022
27,CDA-4,SECRETARIA MUNICIPAL DE DIREITOS HUMANOS E CIDADAN,14,2,16,12.5,40,False,2022-07-01,2022
28,CDA-4,SECRETARIA MUNICIPAL DE GESTAO,31,16,47,34.04255319148936,40,False,2022-07-01,2022
29,CDA-4,SECRETARIA MUNICIPAL DE HABITACAO,11,5,16,31.25,40,False,2022-07-01,2022
30,CDA-4,SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,9,5,14,35.714285714285715,40,False,2022-07-01,2022
31,CDA-4,SECRETARIA MUNICIPAL DE INOVACAO E TECNOLOGIA,19,4,23,17.391304347826086,40,False,2022-07-01,2022
32,CDA-4,SECRETARIA MUNICIPAL DE MOBILIDADE E TRANSITO,7,0,7,0.0,40,False,2022-07-01,2022
33,CDA-4,SECRETARIA MUNICIPAL DE RELACOES INTERNACIONAIS,7,0,7,0.0,40,False,2022-07-01,2022
34,CDA-4,SECRETARIA MUNICIPAL DE TURISMO,6,0,6,0.0,40,False,2022-07-01,2022
35,CDA-5,CASA CIVIL,5,0,5,0.0,30,False,2022-07-01,2022
36,CDA-5,CONTROLADORIA GERAL DO MUNICIPIO,3,1,4,25.0,30,False,2022-07-01,2022
37,CDA-5,GABINETE DO PREFEITO,7,0,7,0.0,30,False,2022-07-01,2022
38,CDA-5,SECRETARIA DO GOVERNO MUNICIPAL,16,0,16,0.0,30,False,2022-07-01,2022
39,CDA-5,SECRETARIA MUNICIPAL DA PESSOA COM DEFICIENCIA,4,1,5,20.0,30,False,2022-07-01,2022
40,CDA-5,SECRETARIA MUNICIPAL DA SAUDE,8,25,33,75.75757575757575,30,True,2022-07-01,2022
41,CDA-5,SECRETARIA MUNICIPAL DAS SUBPREFEITURAS,10,2,12,16.666666666666664,30,False,2022-07-01,2022
42,CDA-5,SECRETARIA MUNICIPAL DE CULTURA,10,5,15,33.33333333333333,30,True,2022-07-01,2022
43,CDA-5,SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONOMICO,2,1,3,33.33333333333333,30,True,2022-07-01,2022
44,CDA-5,SECRETARIA MUNICIPAL DE DIREITOS HUMANOS E CIDADAN,19,1,20,5.0,30,False,2022-07-01,2022
45,CDA-5,SECRETARIA MUNICIPAL DE GESTAO,6,8,14,57.14285714285714,30,True,2022-07-01,2022
46,CDA-5,SECRETARIA MUNICIPAL DE HABITACAO,4,1,5,20.0,30,False,2022-07-01,2022
47,CDA-5,SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,2,3,5,60.0,30,True,2022-07-01,2022
48,CDA-5,SECRETARIA MUNICIPAL DE INOVACAO E TECNOLOGIA,11,2,13,15.384615384615385,30,False,2022-07-01,2022
49,CDA-5,SECRETARIA MUNICIPAL DE MOBILIDADE E TRANSITO,1,0,1,0.0,30,False,2022-07-01,2022
50,CDA-5,SECRETARIA MUNICIPAL DE RELACOES INTERNACIONAIS,2,0,2,0.0,30,False,2022-07-01,2022
51,CDA-5,SECRETARIA MUNICIPAL DE TURISMO,1,0,1,0.0,30,False,2022-07-01,2022
52,CDA-6,CASA CIVIL,1,0,1,0.0,20,False,2022-07-01,2022
53,CDA-6,CONTROLADORIA GERAL DO MUNICIPIO,3,2,5,40.0,20,True,2022-07-01,2022
54,CDA-6,GABINETE DO PREFEITO,4,0,4,0.0,20,False,2022-07-01,2022
55,CDA-6,SECRETARIA DO GOVERNO MUNICIPAL,10,2,12,16.666666666666664,20,False,2022-07-01,2022
56,CDA-6,SECRETARIA MUNICIPAL DA PESSOA COM DEFICIENCIA,3,0,3,0.0,20,False,2022-07-01,2022
57,CDA-6,SECRETARIA MUNICIPAL DA SAUDE,5,14,19,73.68421052631578,20,True,2022-07-01,2022
58,CDA-6,SECRETARIA MUNICIPAL DAS SUBPREFEITURAS,7,0,7,0.0,20,False,2022-07-01,2022
59,CDA-6,SECRETARIA MUNICIPAL DE CULTURA,3,0,3,0.0,20,False,2022-07-01,2022
60,CDA-6,SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONOMICO,2,1,3,33.33333333333333,20,True,2022-07-01,2022
61,CDA-6,SECRETARIA MUNICIPAL DE DIREITOS HUMANOS E CIDADAN,3,0,3,0.0,20,False,2022-07-01,2022
62,CDA-6,SECRETARIA MUNICIPAL DE GESTAO,4,6,10,60.0,20,True,2022-07-01,2022
63,CDA-6,SECRETARIA MUNICIPAL DE HABITACAO,3,0,3,0.0,20,False,2022-07-01,2022
64,CDA-6,SECRETARIA MUNICIPAL DE INOVACAO E TECNOLOGIA,5,2,7,28.57142857142857,20,True,2022-07-01,2022
65,CDA-6,SECRETARIA MUNICIPAL DE RELACOES INTERNACIONAIS,1,0,1,0.0,20,False,2022-07-01,2022
66,CDA-6,SECRETARIA MUNICIPAL DE TURISMO,3,0,3,0.0,20,False,2022-07-01,2022
0,"CDA-1, CDA-2, CDA-3",CASA CIVIL,52,7,59,11.864406779661017,45,False,2022-08-01,2022
1,"CDA-1, CDA-2, CDA-3",CONTROLADORIA GERAL DO MUNICIPIO,30,26,56,46.42857142857143,45,True,2022-08-01,2022
2,"CDA-1, CDA-2, CDA-3",GABINETE DO PREFEITO,66,0,66,0.0,45,False,2022-08-01,2022
3,"CDA-1, CDA-2, CDA-3",PROCURADORIA GERAL DO MUNICIPIO,59,83,142,58.45070422535211,45,True,2022-08-01,2022
4,"CDA-1, CDA-2, CDA-3",SECRETARIA DO GOVERNO MUNICIPAL,96,4,100,4.0,45,False,2022-08-01,2022
5,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DA PESSOA COM DEFICIENCIA,21,3,24,12.5,45,False,2022-08-01,2022
6,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DA SAUDE,269,865,1134,76.27865961199295,45,True,2022-08-01,2022
7,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DAS SUBPREFEITURAS,262,49,311,15.755627009646304,45,False,2022-08-01,2022
8,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE ASSIST E DESENV SOCIAL,151,88,239,36.82008368200837,45,False,2022-08-01,2022
9,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE CULTURA,324,134,458,29.257641921397383,45,False,2022-08-01,2022
10,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONOMICO,91,11,102,10.784313725490197,45,False,2022-08-01,2022
11,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE DIREITOS HUMANOS E CIDADAN,171,6,177,3.389830508474576,45,False,2022-08-01,2022
12,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE EDUCACAO,358,121,479,25.260960334029225,45,False,2022-08-01,2022
13,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE ESPORTES E LAZER,151,44,195,22.564102564102566,45,False,2022-08-01,2022
14,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE GESTAO,135,74,209,35.406698564593306,45,False,2022-08-01,2022
15,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE HABITACAO,51,41,92,44.565217391304344,45,False,2022-08-01,2022
16,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,98,22,120,18.333333333333332,45,False,2022-08-01,2022
17,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE INOVACAO E TECNOLOGIA,76,7,83,8.433734939759036,45,False,2022-08-01,2022
18,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE JUSTICA,12,0,12,0.0,45,False,2022-08-01,2022
19,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE MOBILIDADE E TRANSITO,22,3,25,12.0,45,False,2022-08-01,2022
20,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE RELACOES INTERNACIONAIS,34,0,34,0.0,45,False,2022-08-01,2022
21,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE SEGURANCA URBANA,91,17,108,15.74074074074074,45,False,2022-08-01,2022
22,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE TURISMO,14,1,15,6.666666666666667,45,False,2022-08-01,2022
23,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,100,94,194,48.45360824742268,45,True,2022-08-01,2022
24,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,301,37,338,10.946745562130179,45,False,2022-08-01,2022
25,CDA-4,CASA CIVIL,7,0,7,0.0,40,False,2022-08-01,2022
26,CDA-4,CONTROLADORIA GERAL DO MUNICIPIO,10,10,20,50.0,40,True,2022-08-01,2022
27,CDA-4,GABINETE DO PREFEITO,23,0,23,0.0,40,False,2022-08-01,2022
28,CDA-4,PROCURADORIA GERAL DO MUNICIPIO,3,10,13,76.92307692307693,40,True,2022-08-01,2022
29,CDA-4,SECRETARIA DO GOVERNO MUNICIPAL,15,2,17,11.76470588235294,40,False,2022-08-01,2022
30,CDA-4,SECRETARIA MUNICIPAL DA PESSOA COM DEFICIENCIA,6,0,6,0.0,40,False,2022-08-01,2022
31,CDA-4,SECRETARIA MUNICIPAL DA SAUDE,41,144,185,77.83783783783784,40,True,2022-08-01,2022
32,CDA-4,SECRETARIA MUNICIPAL DAS SUBPREFEITURAS,19,9,28,32.142857142857146,40,False,2022-08-01,2022
33,CDA-4,SECRETARIA MUNICIPAL DE ASSIST E DESENV SOCIAL,50,17,67,25.37313432835821,40,False,2022-08-01,2022
34,CDA-4,SECRETARIA MUNICIPAL DE CULTURA,24,6,30,20.0,40,False,2022-08-01,2022
35,CDA-4,SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONOMICO,6,2,8,25.0,40,False,2022-08-01,2022
36,CDA-4,SECRETARIA MUNICIPAL DE DIREITOS HUMANOS E CIDADAN,16,2,18,11.11111111111111,40,False,2022-08-01,2022
37,CDA-4,SECRETARIA MUNICIPAL DE EDUCACAO,8,114,122,93.44262295081968,40,True,2022-08-01,2022
38,CDA-4,SECRETARIA MUNICIPAL DE ESPORTES E LAZER,19,6,25,24.0,40,False,2022-08-01,2022
39,CDA-4,SECRETARIA MUNICIPAL DE GESTAO,32,15,47,31.914893617021278,40,False,2022-08-01,2022
40,CDA-4,SECRETARIA MUNICIPAL DE HABITACAO,12,5,17,29.411764705882355,40,False,2022-08-01,2022
41,CDA-4,SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,9,6,15,40.0,40,True,2022-08-01,2022
42,CDA-4,SECRETARIA MUNICIPAL DE INOVACAO E TECNOLOGIA,19,4,23,17.391304347826086,40,False,2022-08-01,2022
43,CDA-4,SECRETARIA MUNICIPAL DE MOBILIDADE E TRANSITO,7,0,7,0.0,40,False,2022-08-01,2022
44,CDA-4,SECRETARIA MUNICIPAL DE RELACOES INTERNACIONAIS,5,0,5,0.0,40,False,2022-08-01,2022
45,CDA-4,SECRETARIA MUNICIPAL DE SEGURANCA URBANA,13,2,15,13.333333333333334,40,False,2022-08-01,2022
46,CDA-4,SECRETARIA MUNICIPAL DE TURISMO,7,0,7,0.0,40,False,2022-08-01,2022
47,CDA-4,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,15,29,44,65.9090909090909,40,True,2022-08-01,2022
48,CDA-4,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,46,7,53,13.20754716981132,40,False,2022-08-01,2022
49,CDA-5,CASA CIVIL,5,0,5,0.0,30,False,2022-08-01,2022
50,CDA-5,CONTROLADORIA GERAL DO MUNICIPIO,3,1,4,25.0,30,False,2022-08-01,2022
51,CDA-5,GABINETE DO PREFEITO,7,0,7,0.0,30,False,2022-08-01,2022
52,CDA-5,SECRETARIA DO GOVERNO MUNICIPAL,16,0,16,0.0,30,False,2022-08-01,2022
53,CDA-5,SECRETARIA MUNICIPAL DA PESSOA COM DEFICIENCIA,4,1,5,20.0,30,False,2022-08-01,2022
54,CDA-5,SECRETARIA MUNICIPAL DA SAUDE,8,25,33,75.75757575757575,30,True,2022-08-01,2022
55,CDA-5,SECRETARIA MUNICIPAL DAS SUBPREFEITURAS,11,2,13,15.384615384615385,30,False,2022-08-01,2022
56,CDA-5,SECRETARIA MUNICIPAL DE ASSIST E DESENV SOCIAL,13,2,15,13.333333333333334,30,False,2022-08-01,2022
57,CDA-5,SECRETARIA MUNICIPAL DE CULTURA,11,5,16,31.25,30,True,2022-08-01,2022
58,CDA-5,SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONOMICO,2,1,3,33.33333333333333,30,True,2022-08-01,2022
59,CDA-5,SECRETARIA MUNICIPAL DE DIREITOS HUMANOS E CIDADAN,19,1,20,5.0,30,False,2022-08-01,2022
60,CDA-5,SECRETARIA MUNICIPAL DE EDUCACAO,5,19,24,79.16666666666666,30,True,2022-08-01,2022
61,CDA-5,SECRETARIA MUNICIPAL DE ESPORTES E LAZER,4,2,6,33.33333333333333,30,True,2022-08-01,2022
62,CDA-5,SECRETARIA MUNICIPAL DE GESTAO,5,9,14,64.28571428571429,30,True,2022-08-01,2022
63,CDA-5,SECRETARIA MUNICIPAL DE HABITACAO,4,1,5,20.0,30,False,2022-08-01,2022
64,CDA-5,SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,2,3,5,60.0,30,True,2022-08-01,2022
65,CDA-5,SECRETARIA MUNICIPAL DE INOVACAO E TECNOLOGIA,11,2,13,15.384615384615385,30,False,2022-08-01,2022
66,CDA-5,SECRETARIA MUNICIPAL DE MOBILIDADE E TRANSITO,1,0,1,0.0,30,False,2022-08-01,2022
67,CDA-5,SECRETARIA MUNICIPAL DE RELACOES INTERNACIONAIS,2,0,2,0.0,30,False,2022-08-01,2022
68,CDA-5,SECRETARIA MUNICIPAL DE SEGURANCA URBANA,6,2,8,25.0,30,False,2022-08-01,2022
69,CDA-5,SECRETARIA MUNICIPAL DE TURISMO,1,0,1,0.0,30,False,2022-08-01,2022
70,CDA-5,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,2,4,6,66.66666666666666,30,True,2022-08-01,2022
71,CDA-5,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,10,2,12,16.666666666666664,30,False,2022-08-01,2022
72,CDA-6,CASA CIVIL,2,0,2,0.0,20,False,2022-08-01,2022
73,CDA-6,CONTROLADORIA GERAL DO MUNICIPIO,3,2,5,40.0,20,True,2022-08-01,2022
74,CDA-6,GABINETE DO PREFEITO,4,0,4,0.0,20,False,2022-08-01,2022
75,CDA-6,SECRETARIA DO GOVERNO MUNICIPAL,10,2,12,16.666666666666664,20,False,2022-08-01,2022
76,CDA-6,SECRETARIA MUNICIPAL DA PESSOA COM DEFICIENCIA,3,0,3,0.0,20,False,2022-08-01,2022
77,CDA-6,SECRETARIA MUNICIPAL DA SAUDE,5,14,19,73.68421052631578,20,True,2022-08-01,2022
78,CDA-6,SECRETARIA MUNICIPAL DAS SUBPREFEITURAS,8,0,8,0.0,20,False,2022-08-01,2022
79,CDA-6,SECRETARIA MUNICIPAL DE ASSIST E DESENV SOCIAL,4,1,5,20.0,20,True,2022-08-01,2022
80,CDA-6,SECRETARIA MUNICIPAL DE CULTURA,3,0,3,0.0,20,False,2022-08-01,2022
81,CDA-6,SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONOMICO,2,1,3,33.33333333333333,20,True,2022-08-01,2022
82,CDA-6,SECRETARIA MUNICIPAL DE DIREITOS HUMANOS E CIDADAN,3,0,3,0.0,20,False,2022-08-01,2022
83,CDA-6,SECRETARIA MUNICIPAL DE EDUCACAO,1,0,1,0.0,20,False,2022-08-01,2022
84,CDA-6,SECRETARIA MUNICIPAL DE GESTAO,4,6,10,60.0,20,True,2022-08-01,2022
85,CDA-6,SECRETARIA MUNICIPAL DE HABITACAO,3,0,3,0.0,20,False,2022-08-01,2022
86,CDA-6,SECRETARIA MUNICIPAL DE INOVACAO E TECNOLOGIA,5,2,7,28.57142857142857,20,True,2022-08-01,2022
87,CDA-6,SECRETARIA MUNICIPAL DE RELACOES INTERNACIONAIS,2,0,2,0.0,20,False,2022-08-01,2022
88,CDA-6,SECRETARIA MUNICIPAL DE SEGURANCA URBANA,6,1,7,14.285714285714285,20,False,2022-08-01,2022
89,CDA-6,SECRETARIA MUNICIPAL DE TURISMO,3,0,3,0.0,20,False,2022-08-01,2022
90,CDA-6,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,4,13,17,76.47058823529412,20,True,2022-08-01,2022
0,"CDA-1, CDA-2, CDA-3",CASA CIVIL,54,7,61,11.475409836065573,45,False,2022-09-01,2022
1,"CDA-1, CDA-2, CDA-3",CONTROLADORIA GERAL DO MUNICIPIO,29,26,55,47.27272727272727,45,True,2022-09-01,2022
2,"CDA-1, CDA-2, CDA-3",GABINETE DO PREFEITO,68,0,68,0.0,45,False,2022-09-01,2022
3,"CDA-1, CDA-2, CDA-3",PROCURADORIA GERAL DO MUNICIPIO,59,87,146,59.589041095890416,45,True,2022-09-01,2022
4,"CDA-1, CDA-2, CDA-3",SECRETARIA DO GOVERNO MUNICIPAL,95,4,99,4.040404040404041,45,False,2022-09-01,2022
5,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DA FAZENDA,48,73,121,60.33057851239669,45,True,2022-09-01,2022
6,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DA PESSOA COM DEFICIENCIA,23,3,26,11.538461538461538,45,False,2022-09-01,2022
7,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DA SAUDE,276,877,1153,76.06244579358196,45,True,2022-09-01,2022
8,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DAS SUBPREFEITURAS,262,52,314,16.560509554140125,45,False,2022-09-01,2022
9,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE ASSIST E DESENV SOCIAL,153,92,245,37.55102040816327,45,False,2022-09-01,2022
10,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE CULTURA,329,134,463,28.94168466522678,45,False,2022-09-01,2022
11,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONOMICO,95,11,106,10.377358490566039,45,False,2022-09-01,2022
